// This file is an area name mapping table.
// You can make manual changes/additions to this file if you want to.
// Note that these changes have to comply to the format KolMafia uses for the given
// area names.
// Changes to this file will be loaded the next time the ALV is started.

// Empty lines are ignored
// This is a comment :)
// Format for this file -> area name | new area name mapping
// Nothing more :D

Daily Dungeon (Room 1) | Daily Dungeon
Daily Dungeon (Room 2) | Daily Dungeon
Daily Dungeon (Room 3) | Daily Dungeon
Daily Dungeon (Room 4) | Daily Dungeon
Daily Dungeon (Room 5) | Daily Dungeon
Daily Dungeon (Room 6) | Daily Dungeon
Daily Dungeon (Room 7) | Daily Dungeon
Daily Dungeon (Room 8) | Daily Dungeon
Daily Dungeon (Room 9) | Daily Dungeon
Daily Dungeon (Room 10) | Daily Dungeon
Hidden City: Unexplored Ruins | Hidden City
Hidden City (Square 1) | Hidden City
Hidden City (Square 2) | Hidden City
Hidden City (Square 3) | Hidden City
Hidden City (Square 4) | Hidden City
Hidden City (Square 5) | Hidden City
Hidden City (Square 6) | Hidden City
Hidden City (Square 7) | Hidden City
Hidden City (Square 8) | Hidden City
Hidden City (Square 9) | Hidden City
Hidden City (Square 10) | Hidden City
Hidden City (Square 11) | Hidden City
Hidden City (Square 12) | Hidden City
Hidden City (Square 13) | Hidden City
Hidden City (Square 14) | Hidden City
Hidden City (Square 15) | Hidden City
Hidden City (Square 16) | Hidden City
Hidden City (Square 17) | Hidden City
Hidden City (Square 18) | Hidden City
Hidden City (Square 19) | Hidden City
Hidden City (Square 20) | Hidden City
Hidden City (Square 21) | Hidden City
Hidden City (Square 22) | Hidden City
Hidden City (Square 23) | Hidden City
Hidden City (Square 24) | Hidden City
Hidden City (Square 25) | Hidden City
Hidden City (Square 26) | Hidden City
Hidden City (Square 27) | Hidden City
Hidden City (Square 28) | Hidden City
Hidden City (Square 29) | Hidden City
Hidden City (Square 30) | Hidden City
Haunted Wine Cellar (Northwest) | Haunted Wine Cellar
Haunted Wine Cellar (Northeast) | Haunted Wine Cellar
Haunted Wine Cellar (Southwest) | Haunted Wine Cellar
Haunted Wine Cellar (Southeast) | Haunted Wine Cellar
The Typical Tavern Cellar (row 1, col 1) | Tavern Cellar
The Typical Tavern Cellar (row 1, col 2) | Tavern Cellar
The Typical Tavern Cellar (row 1, col 3) | Tavern Cellar
The Typical Tavern Cellar (row 1, col 4) | Tavern Cellar
The Typical Tavern Cellar (row 1, col 5) | Tavern Cellar
The Typical Tavern Cellar (row 2, col 1) | Tavern Cellar
The Typical Tavern Cellar (row 2, col 2) | Tavern Cellar
The Typical Tavern Cellar (row 2, col 3) | Tavern Cellar
The Typical Tavern Cellar (row 2, col 4) | Tavern Cellar
The Typical Tavern Cellar (row 2, col 5) | Tavern Cellar
The Typical Tavern Cellar (row 3, col 1) | Tavern Cellar
The Typical Tavern Cellar (row 3, col 2) | Tavern Cellar
The Typical Tavern Cellar (row 3, col 3) | Tavern Cellar
The Typical Tavern Cellar (row 3, col 4) | Tavern Cellar
The Typical Tavern Cellar (row 3, col 5) | Tavern Cellar
The Typical Tavern Cellar (row 4, col 1) | Tavern Cellar
The Typical Tavern Cellar (row 4, col 2) | Tavern Cellar
The Typical Tavern Cellar (row 4, col 3) | Tavern Cellar
The Typical Tavern Cellar (row 4, col 4) | Tavern Cellar
The Typical Tavern Cellar (row 4, col 5) | Tavern Cellar
The Typical Tavern Cellar (row 5, col 1) | Tavern Cellar
The Typical Tavern Cellar (row 5, col 2) | Tavern Cellar
The Typical Tavern Cellar (row 5, col 3) | Tavern Cellar
The Typical Tavern Cellar (row 5, col 4) | Tavern Cellar
The Typical Tavern Cellar (row 5, col 5) | Tavern Cellar
